Ticket: SCHADS Award Calculation Engine (v16.0),,,
,,,
1. Objective,,,
,,,
To build a payroll logic engine that partitions raw time-logs into SCHADS-compliant line items by evaluating 11 sequential logic steps.,,,
,,,
2. System Input Schema,,,
Field,Type,Description,
employee_stream,Enum,"SOCIAL_COMMUNITY_SERVICES, HOME_CARE, CRISIS_ACCOMMODATION, FAMILY_DAY_CARE",
classification_level,Integer,1 through 8.,
pay_point,Integer,1 through 4 (varies by level).,
,,,
3. The 11-Step Logic Sequence,,,
The engine must process every shift through these steps in exact order. Level 1 (Step 4) overrides all temporal loadings.,,,
,,,
Step 1: Minimum Engagement (Rounding) — [PRIMARY],,,
Rule: Every standalone engagement must be at least 2.0 hours.,(a)          social and community services employees (except when undertaking disability services work)—3 hours;,,
"Logic: If duration < 2.0h, add ""Paid Gap Time"" to reach 2.0h.",(b)         all other employees—2 hours.,,
Separation: Engagements separated by a Sleepover (Step 2) are treated as distinct. You cannot sum a pre-sleepover hour and a post-sleepover hour to meet this minimum.,,,
,,,
Step 2: Sleepover Anchor & Partitioning,,,
"Step 2: Sleepover Anchor & PartitioningTrigger: is_sleepover = True (10 PM – 6 AM).Allowance: 
Flat $60.02.Evening Trigger: If a pre-sleepover block ends at 22:00, the entire block uses the Evening Rate ($1.375$ Casual / $1.125$ Perm).",,,
Action: Apply flat $60.02 allowance.,,,
"The Evening Trigger: If a shift ends at the Sleepover start (22:00), the entire block preceding it must use the Evening Rate ($1.375$ Casual / $1.125$ Perm) because 22:00 is > 20:00.",,,
,,,
Step 3: Sleepover Disturbance,,,
Trigger: Work during the 10 PM – 6 AM window.,,,
Rule: Minimum 1.0 hour per disturbance.,,,
Rate: Use Overtime Rate.  (unless Weekend/OT applies).,,,
,,,
Step 4: Public Holiday & Weekend (Highest Rate Wins),,,
"Logic: If the timestamp is Sat, Sun, or PH, ignore all Evening/Night/Ordinary loadings.",,,
Multipliers (Perm/Casual): * Sat: 1.50 / 1.75,,,
Sun: 2.00 / 2.25,,,
PH: 2.50 / 2.75,,,
,,,
Step 5: Meal Allowance ( tenant based) ,,,
"Trigger: Total shift > 5 hours without a break, or Overtime > 2 hours.",,,
Value: $15.54 (Taxable).,,,
,,,
Step 6: Uniform & Laundry ( tenant based) ,,,
Value: $1.23 (Uniform) and $0.32 (Laundry) per shift.,,,
,,,
Step 7: 10-Hour Break Safety,,,
Trigger: If the gap between the end of the last shift and the start of the current shift is < 10 hours.,,,
Penalty: Pay all hours of the current shift at overtime Rate until a 10-hour break is provided.,,,
,,,
"Step 8: 12-Hour Span Penalty (The ""P"" Variable)",,,
"Trigger: In a ""Broken Shift,"" if Last_Segment_End minus First_Segment_Start > 12 hours.",,,
Penalty: Pay overtime rate for all hours worked beyond the 12th hour of that span.,,,
,,,
Step 9: Daily Overtime,,,
Trigger: Active work > 10 hours in a 24-hour window.,,,
"Rate: First 2 hours at 1.5x, thereafter 2.0x.",,,
,,,
Step 10: Weekly/Fortnightly Overtime ( tenant based) ( week will start from monday),,,
Trigger: Cumulative hours > 38 hour (Week) or > 76 hour (Fortnight).,,,
,,,
Step 11: Travel / KM Allowance,,,
Value: $0.99 per KM.,,,
,,,
4. Multiplier Matrix (Casual vs. Permanent),,,
Category,Time Trigger (Weekday),Permanent,Casual (Inc 25%)
Ordinary,06:00 – 20:00,1,1.25
Evening,finishes between 20:00-24:00,1.125,1.375
Night,00:00 – 06:00,1.15,1.4
,,,
5. Partitioning Logic for Developers,,,
Boundary,Logic Name,Action,
20:00:00,The Evening Trigger,"Look-Back Logic: If the shift continues past this point (and it's a weekday), all previous hours in that specific engagement (back to the start or last reset) are ""upgraded"" to the Evening Rate.",
0:00:00,The Midnight Pivot,"Calendar Split: Mandatory split for accounting. Multipliers must be re-evaluated against the new calendar day (e.g., Friday Night 1.40x becomes Saturday 1.75x).",
6:00:00,The Morning Reset,Hard Reset: The Night Rate (1.40x/1.15x) expires. All subsequent hours must drop to the Ordinary Rate (1.25x/1.00x) unless it is a weekend.,
,,,
6. Calculation Benchmark (Validation Case),,,
"Scenario: 18 Dec, 9:30 PM – 19 Dec, 6:30 AM (Active Night) | Base: $35.67 (Casual)",,,
Segment,Logic Applied,Multiplier,Total
21:30 - 00:00,Evening (Ends > 20:00),1.375,$122.62
00:00 - 06:00,Night Loading,1.4,$299.63
06:00 - 06:30,Normal Reset,1.25,$22.29
TOTAL,,,$444.54
7. Developer Mandatory Constraints,,,
,,,
"Highest Rate Wins: Rates never compound. If a segment is both ""Evening"" (1.375) and ""Over 12h Span"" (2.0), the engine must apply 2.0.",,,
,,,
"Broken Shift Separation: The 12-hour span includes unpaid breaks, but the penalty applies only to worked minutes.",,,
